Id,ServiceName,RetiringFeature,RetirementDate,Link
583,Azure Synapse,Runtime for Apache Spark 3.2,7/8/2024,https://azure.microsoft.com/updates/azure-synapse-runtime-for-apache-spark-32-end-of-support/
7,Storage Account,Classic,8/31/2024,https://azure.microsoft.com/updates/classic-azure-storage-accounts-will-be-retired-on-31-august-2024/
38,Cloud service (classic),Classic,8/31/2024,https://azure.microsoft.com/updates/cloud-services-retirement-announcement/
60,Virtual Machines,Av1-series,8/31/2024,https://azure.microsoft.com/updates/action-required-migrate-your-azure-workloads-to-av2series-vms-before-31-august-2024/
62,Virtual Machines,HB-series,8/31/2024,https://azure.microsoft.com/updates/hbseries-azure-virtual-machines-will-be-retired-by-31-august-2024/
8801,Network Security Group,Classic,8/31/2024,https://azure.microsoft.com/updates/five-azure-classic-networking-services-will-be-retired-on-31-august-2024/
8802,Reserved IPs,Classic,8/31/2024,https://learn.microsoft.com/azure/virtual-network/ip-services/public-ip-upgrade-classic
669,Event Grid,Support for TLS 1.0 and 1.1,2/28/2025,https://azure.microsoft.com/updates/v2/TLS-changes-for-Azure-Event-Grid
703,Azure Cosmos DB,Support for TLS 1.0 and 1.1,8/31/2025,https://learn.microsoft.com/azure/cosmos-db/self-serve-minimum-tls-enforcement
582,Virtual Machines,Standard_NC24rs_v3,3/31/2025,https://azure.microsoft.com/updates/standardnc24rsv3-virtual-machines-will-be-retired-on-march-31st-2025/
531,App Service,Node 18 LTS,4/30/2025,https://azure.microsoft.com/updates/action-required-upgrade-your-app-service-apps-to-node-20-lts-by-30-april-2025/
398,Azure Database for MariaDB,Entire service,9/19/2025,https://azure.microsoft.com/updates/azure-database-for-mariadb-will-be-retired-on-19-september-2025-migrate-to-azure-database-for-mysql-flexible-server/
660,Azure Remote Rendering,Entire service,9/30/2025,https://azure.microsoft.com/updates/v2/azure-remote-rendering-retirement
94,Azure Load Balancer,Basic Load Balancer,9/30/2025,https://azure.microsoft.com/updates/azure-basic-load-balancer-will-be-retired-on-30-september-2025-upgrade-to-standard-load-balancer/
213,Azure Service Map,Entire Service,9/30/2025,https://azure.microsoft.com/updates/migrate-to-azure-monitor-vm-insights-by-30-september-2025-when-service-map-will-be-retired/
220,Public IP address,Basic Sku,9/30/2025,https://azure.microsoft.com/updates/upgrade-to-standard-sku-public-ip-addresses-in-azure-by-30-september-2025-basic-sku-will-be-retired/
481,VPN Gateway,Standard and High-Performance SKUs,9/30/2025,https://azure.microsoft.com/updates/standard-and-highperformance-vpn-gateway-skus-will-be-retired-on-30-september-2025/
514,Virtual Machines,"Standard_NC6s_v3, Standard_NC12s_v3, and Standard_NC24s_v3",9/30/2025,https://azure.microsoft.com/updates/standardnc6sv3-standardnc12sv3-and-standardnc24sv3-azure-virtual-machines-will-be-retired-on-september-30-2025/
500,Azure HPC Cache,Entire service,9/30/2025,https://azure.microsoft.com/updates/hpccacheretirement/
84,Azure Disks,Unmanaged Disks,9/30/2025,https://learn.microsoft.com/azure/virtual-machines/unmanaged-disks-deprecation
160,Cognitive Services,Language Understanding (LUIS),10/31/2025,https://azure.microsoft.com/updates/language-understanding-retirement/
665,App Service,Python 3.9,10/1/2025,https://azure.microsoft.com/updates?id=python-39-app-svc
249,Azure Database for PostgreSQL,FlexibleServers- Version 11,11/9/2025,https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-version-policy#postgresql-11-support
664,App Service,PHP 8.2,12/31/2026,https://azure.microsoft.com/updates/v2/php-82-app-svc
459,App Service,PHP 8.1,12/31/2025,https://azure.microsoft.com/updates/v2/Php-81-extension
298,Azure Application Gateway,V1,4/28/2026,https://azure.microsoft.com/updates/application-gateway-v1-will-be-retired-on-28-april-2026-transition-to-application-gateway-v2/
465,Azure Maps,Gen1 price tier,9/15/2026,https://azure.microsoft.com/updates/azure-maps-gen1-price-tier-retirement/
387,Azure Health Data Services,SMART on FHIR proxy ,9/21/2026,https://azure.microsoft.com/updates/smart-on-fhir-proxy-feature-in-azure-health-data-services-will-be-retired-on-21st-september-2026-transition-to-smart-on-fhir/
354,Azure API for FHIR,Entire service,9/30/2026,https://azure.microsoft.com/updates/azure-api-for-fhir-retirement/
154,Application Insights,Single URL Ping Test,9/30/2026,https://azure.microsoft.com/updates/transition-to-using-standard-tests-for-singlestep-availability-testing-in-azure-monitor-application-insights-by-30-september/
405,Azure Anomaly Detector,Entire service,10/1/2026,https://azure.microsoft.com/updates/ai-services-anomaly-detector-will-be-retired-on-1-october-2026/
408,Azure Personalizer,Entire service,10/1/2026,https://azure.microsoft.com/updates/ai-services-personalizer-will-be-retired-on-1-october-2026/
407,Azure Metrics Advisor,Entire service,10/1/2026,https://azure.microsoft.com/updates/ai-services-metrics-advisor-will-be-retired-on-1-october-2026/
611,VPN Gateway,Non-AZ VPNs,9/30/2026,https://azure.microsoft.com/updates/v2/vpngw1-5-non-az-skus-will-be-retired-on-30-september-2026
561,Azure AI Content Moderator,Entire service,3/15/2027,https://azure.microsoft.com/updates/azure-content-moderator-retirement/
519,Application Gateway,WAF v2 Config,3/31/2027,https://azure.microsoft.com/updates/retirement-support-for-application-gateway-web-application-firewall-v2-configuration-is-ending/
498,Virtual Machines,Standard_M192idms_v2,3/31/2027,https://azure.microsoft.com/updates/support-for-standardm192idmsv2-will-be-retired-on-31-march-2027/
497,Virtual Machines,Standard_M192ids_v2,3/31/2027,https://azure.microsoft.com/updates/community-support-for-standardm192idsv2-is-ending-on-31-march-2027/
496,Virtual Machines,Standard_M192ims_v2,3/31/2027,https://azure.microsoft.com/updates/community-support-for-standardm192imsv2-is-ending-on-31-march-2027/
495,Virtual Machines,Standard_M192is_v2,3/31/2027,https://azure.microsoft.com/updates/community-support-for-standardm192isv2-is-ending-on-31-march-2027/
624,Azure Lab Services,V1 and V2,6/28/2027,https://azure.microsoft.com/updates/v2/Azure-Lab-Services-is-being-retired
619,Azure CDN,Standard from Microsoft (classic),9/30/2027,https://azure.microsoft.com/updates/v2/Azure-CDN-Standard-from-Microsoft-classic-will-be-retired-on-30-September-2027
666,Azure Load Balancer,Inbound NAT rule V1,9/30/2027,https://azure.microsoft.com/updates/v2/Retirement-notice-Azure-Load-Balancer-Inbound-NAT-rule-V1-for-Azure-VMs-and-Azure-VMSS-will-be-retired
18,Azure Data Lake Analytics,Entire Service,2/29/2024,https://azure.microsoft.com/updates/migrate-to-azure-synapse-analytics/
31,Azure Time Series Insights,Entire service,7/7/2024,https://azure.microsoft.com/updates/we-re-retiring-azure-time-series-insights-on-7-july-2024-transition-to-azure-data-explorer/
143,Application Insights,Trouble Shooting Guides Retirement,3/31/2024,https://github.com/microsoft/Application-Insights-Workbooks/blob/master/Documentation/LegacyAI/TroubleshootingGuidesDeprecation.md
153,Azure Stack Edge,The 'managed' IoT Edge solution,3/31/2024,https://azure.microsoft.com/updates/the-managed-iot-edge-solution-on-azure-stack-edge-will-be-retired-on-march-31-2024-transition-your-iot-edge-workloads-to-an-i/
181,Application Insights,Classic,2/29/2024,https://azure.microsoft.com/updates/we-re-retiring-classic-application-insights-on-29-february-2024/
182,Azure Data Lake Storage,Gen 1,2/29/2024,https://azure.microsoft.com/updates/action-required-switch-to-azure-data-lake-storage-gen2-by-29-february-2024/
187,Azure Migrate,Classic,2/29/2024,https://azure.microsoft.com/updates/we-are-retiring-classic-azure-migrate-on-29-february-2024/
200,Azure Monitor,Classic alerts for Azure Gov cloud and Azure China 21Vianet,2/29/2024,https://azure.microsoft.com/updates/start-using-new-alerts-in-azure-monitor-for-azure-government-cloud/
325,Azure Synapse,Runtime for Apache Spark 3.1,1/26/2024,https://learn.microsoft.com/azure/synapse-analytics/spark/apache-spark-3-runtime
328,Azure Synapse,Runtime for Apache Spark 2.4,9/29/2023,https://learn.microsoft.com/azure/synapse-analytics/spark/apache-spark-24-runtime
394,Azure Media Services,Entire service,6/30/2024,https://azure.microsoft.com/updates/retirement-notice-azure-media-services-is-being-retired-on-30-june-2024/
524,Network Watcher,NSG Flow Logs,9/30/2027,https://azure.microsoft.com/updates/v2/Azure-NSG-flow-logs-Retirement
714,Application Gateway,Support for TLS 1.0 and 1.1 (enlists resources with older TLS policies),8/31/2025,https://azure.microsoft.com/updates/v2/Azure-Application-Gateway-support-for-TLS-10-and-TLS-11-will-end-by-31-August-2025
43503,Azure SQL DB,Support for TLS 1.0 and 1.1,8/31/2025,https://learn.microsoft.com/azure/azure-sql/database/connectivity-settings?view=azuresql&tabs=azure-portal#upcoming-retirement-changes
43507,Storage Account,Support for TLS 1.0 and 1.1,11/1/2025,https://techcommunity.microsoft.com/blog/azurestorageblog/tls-1-0-and-1-1-support-will-be-removed-for-new--existing-azure-storage-accounts/4026181
560,Azure Kubernetes Service,Windows Server 2022,3/15/2027,https://azure.microsoft.com/updates/ws2022-retirement-aks/
284,Azure Kubernetes Service,Windows Server 2019,3/1/2026,https://azure.microsoft.com/updates/aks-will-stop-support-for-windows-server-2019-on-march-1-2026/
43508,Azure SQL MI,Support for TLS 1.0 and 1.1,8/31/2025,https://learn.microsoft.com/azure/azure-sql/managed-instance/minimal-tls-version-configure?view=azuresql
622,Azure Automanage,Best Practices,9/30/2027,https://azure.microsoft.com/updates/v2/Azure-Automanage-Best-Practices-Retirement-Migrate-to-Azure-Policy
43501,API Management,TLS 1.0/1.1 Retirement,10/31/2024,https://azure.microsoft.com/updates/azure-support-tls-will-end-by-31-october-2024-2/
570,App Service,Support for Node 20 LTS,4/30/2026,https://azure.microsoft.com/updates/?id=485072
173,Azure App Service,Docker Compose,3/31/2027,https://azure.microsoft.com/updates/?id=485167
600,Azure Container Registry,Support for Docker Content Trust,3/31/2028,https://azure.microsoft.com/updates/?id=485241
657,Azure Kubernetes Service,Kubenet,3/31/2028,https://azure.microsoft.com/updates/?id=485172
679,Azure Kubernetes Service enabled by Azure Arc,Windows Server 2019 and Windows Server 2022,3/27/2028,https://azure.microsoft.com/updates/?id=485893
810,Azure Spring Apps,Entire service,3/31/2028,https://azure.microsoft.com/updates/?id=485865
644,Azure Synapse Analytics,Data Explorer (Kusto) pools,10/7/2025,https://azure.microsoft.com/updates/?id=484968
